Country Name,2010,2011,2012,2013,2014,2015,2016,2017,2018
Afghanistan,500,530,560,600,630,670,710,740,770
Algeria,950,1000,1100,1200,1200,1300,1300,1200,1200
Angola,20000,20000,21000,21000,21000,21000,21000,21000,21000
Argentina,6300,6300,6300,6300,6400,6400,6400,6400,6400
Armenia,500,200,200,200,200,200,200,200,200
Australia,960,980,990,1000,1000,1000,1000,1000,1000
"Bahamas, The",500,500,500,500,500,500,500,500,200
Bangladesh,970,960,1100,1100,1200,1300,1400,1400,1500
Barbados,200,200,200,200,200,200,200,200,200
Belarus,1900,2000,2100,2200,2300,2300,2200,2100,1900
Belize,500,500,500,500,500,500,500,500,500
Benin,3600,3500,3500,3500,3600,3500,3300,3300,3300
Bhutan,200,200,100,100,100,100,100,100,100
Bolivia,1000,1100,1100,1200,1200,1300,1300,1300,1300
Bosnia and Herzegovina,100,100,100,100,100,100,100,100,100
Botswana,11000,11000,10000,9500,9300,9200,8800,8400,8200
Bulgaria,500,500,500,500,500,500,500,500,500
Burkina Faso,2900,2700,2500,2400,2300,2100,2000,1900,1700
Burundi,1900,1800,1600,1500,1400,1300,1200,1000,850
Cabo Verde,200,200,200,200,200,200,200,100,100
Cambodia,1900,1600,1500,1400,1200,1200,1100,950,780
Cameroon,28000,27000,25000,24000,24000,23000,22000,21000,19000
Central African Republic,6900,6700,6400,6100,5800,5300,5000,4700,4400
Chad,4400,4300,4400,4400,4500,4300,4000,4200,4400
Chile,3700,3900,4100,4200,4300,4500,4700,4900,4900
Colombia,8200,8200,8000,7800,7700,7400,7100,6800,6400
Comoros,100,100,100,100,100,100,100,100,100
"Congo, Dem. Rep.",18000,17000,17000,16000,15000,14000,14000,13000,12000
"Congo, Rep.",4400,4500,4400,4400,4300,4400,4200,4100,4100
Costa Rica,820,850,870,900,920,940,960,980,1000
Cote d'Ivoire,19000,19000,19000,18000,17000,17000,16000,15000,14000
Croatia,100,100,100,100,100,100,100,100,100
Cuba,2200,2300,2300,2300,2300,2200,2000,1900,1700
Czech Republic,500,500,500,500,500,500,500,500,500
Denmark,200,200,200,200,200,200,200,200,200
Djibouti,500,500,500,500,500,500,500,500,500
Dominican Republic,2900,2900,2800,2800,2800,2800,2700,2700,2600
Ecuador,2400,2400,2400,2400,2400,2400,2300,2200,2200
"Egypt, Arab Rep.",1200,1300,1500,1800,2000,2300,2600,3000,3500
El Salvador,1200,1100,1100,980,900,830,770,700,640
Equatorial Guinea,3100,3400,3600,3700,3700,3900,4100,4200,4200
Eritrea,590,570,540,520,500,500,500,500,500
Estonia,500,500,500,500,500,500,500,500,500
Eswatini,10000,9700,9700,9700,9600,9000,8300,7600,6900
Ethiopia,23000,23000,22000,20000,21000,20000,20000,20000,20000
Finland,200,200,200,200,200,200,200,200,200
France,5400,5800,5800,5900,6600,6400,6300,6200,6200
Gabon,2200,2200,2200,2100,2000,2000,1900,1700,1600
"Gambia, The",1600,1600,1600,1600,1700,1800,1800,1900,1900
Georgia,780,810,820,790,740,730,720,720,710
Germany,2900,2800,2900,3000,3000,2900,2900,2600,2600
Ghana,17000,16000,16000,16000,16000,16000,17000,16000,17000
Guatemala,1800,1800,1800,1800,1800,1800,1900,2000,2100
Guinea,6200,6100,5900,5800,5800,5700,5700,5500,5300
Guinea-Bissau,2500,2400,2300,2200,2200,2100,2000,1900,1900
Guyana,500,500,500,500,500,500,500,500,500
Haiti,7300,7400,7500,7400,7200,7100,7000,6700,6500
Honduras,630,620,630,650,660,680,700,720,730
Hungary,500,500,500,500,500,500,500,500,500
Iceland,100,100,100,100,100,100,100,100,100
Indonesia,60000,58000,57000,54000,51000,48000,45000,44000,43000
"Iran, Islamic Rep.",4800,4700,4600,4600,4600,4400,4400,4300,4300
Ireland,500,500,500,500,500,500,500,500,500
Israel,500,500,500,500,500,500,500,500,500
Italy,4500,4400,4200,4100,3900,3700,3500,3300,3100
Jamaica,2400,2400,2400,2400,2400,2400,2400,2400,2400
Japan,1700,1700,1700,1700,1600,1500,1500,1400,1200
Jordan,100,100,100,100,100,100,100,100,100
Kazakhstan,1900,2100,2200,2300,2400,2500,2500,2500,2600
Kenya,48000,46000,44000,44000,43000,42000,40000,39000,38000
Kuwait,100,100,100,100,100,100,100,100,100
Kyrgyz Republic,1100,1100,1000,940,840,740,640,580,550
Lao PDR,880,830,780,730,670,630,590,540,500
Latvia,500,500,500,500,500,500,500,500,500
Lebanon,200,200,200,200,200,200,200,200,200
Lesotho,18000,17000,17000,16000,16000,15000,14000,13000,12000
Liberia,2000,1900,1900,1800,1800,1800,1800,1700,1600
Libya,750,740,710,670,620,560,510,500,500
Luxembourg,100,100,100,100,100,100,100,100,100
Madagascar,1800,2100,2400,2800,3200,3700,4100,4800,5600
Malawi,40000,41000,40000,39000,38000,38000,37000,36000,35000
Malaysia,5400,5300,5400,5400,5300,5200,5400,5300,5600
Mali,6500,6800,7200,7500,7900,8500,9200,9900,11000
Mauritania,200,200,200,200,200,200,200,200,100
Mauritius,960,890,830,830,830,830,850,890,900
Mexico,11000,11000,11000,11000,11000,11000,11000,11000,11000
Moldova,1600,1500,1400,1300,1200,1100,1000,990,970
Mongolia,100,100,100,100,100,100,100,100,100
Montenegro,100,100,100,100,100,100,100,100,100
Morocco,1100,1100,1100,1000,990,960,920,880,850
Mozambique,130000,130000,130000,130000,130000,130000,130000,130000,130000
Myanmar,14000,14000,13000,13000,13000,12000,11000,11000,9800
Namibia,8500,7900,7700,7800,6800,6600,6300,6100,5700
Nepal,1900,1600,1500,1300,1200,1100,1000,910,810
Netherlands,990,930,850,780,710,630,540,500,
New Zealand,200,200,200,200,200,200,200,200,200
Nicaragua,540,520,500,500,500,500,500,500,500
Niger,1300,1300,1300,1300,1300,1300,1300,1300,1300
Nigeria,94000,95000,97000,96000,95000,95000,96000,98000,100000
North Macedonia,100,100,100,100,100,100,100,100,100
Norway,500,500,500,500,500,200,200,200,200
Oman,200,200,200,200,200,200,500,500,500
Pakistan,13000,13000,14000,15000,16000,17000,18000,19000,20000
Panama,1400,1400,1400,1400,1400,1400,1400,1300,1300
Papua New Guinea,1200,1500,1700,1800,1800,1900,1900,1900,1900
Paraguay,1200,1100,1200,1200,1200,1200,1100,1100,1100
Peru,3300,3300,3300,3300,3300,3300,3300,3200,3200
Philippines,4400,4600,5400,6600,8100,9400,10000,12000,13000
Portugal,1500,1500,1400,1300,1200,1100,990,900,740
Romania,850,840,830,820,810,810,810,800,790
Rwanda,6900,6500,5900,5300,4900,4500,4000,3500,3200
Senegal,1200,1100,980,920,880,850,850,860,880
Serbia,200,200,200,200,200,200,500,500,500
Sierra Leone,3900,3900,3800,3800,3800,3800,3800,3600,3400
Singapore,500,500,500,500,200,200,200,200,200
Slovak Republic,100,100,100,100,200,200,200,200,200
Slovenia,100,100,100,100,100,100,100,100,100
Somalia,500,500,500,500,500,500,500,500,500
South Africa,370000,350000,320000,300000,290000,280000,270000,250000,220000
South Sudan,11000,12000,13000,13000,14000,14000,15000,16000,17000
Spain,4700,4500,4400,4200,4000,3900,3700,3300,3100
Sri Lanka,500,500,500,500,200,200,200,200,200
Sudan,4600,4600,4600,4500,4400,4400,4400,4400,4400
Suriname,500,500,500,500,500,500,500,500,500
Syrian Arab Republic,100,100,100,100,100,100,100,100,100
Tajikistan,1100,1100,1100,1100,1000,970,930,850,790
Tanzania,73000,74000,75000,72000,71000,69000,68000,66000,64000
Thailand,15000,14000,13000,12000,11000,9600,8200,7200,6300
Togo,4900,4700,4600,4500,4400,4300,4200,3900,3700
Tunisia,500,500,500,500,500,500,500,500,500
Uganda,71000,69000,67000,62000,59000,55000,53000,50000,45000
Ukraine,14000,14000,13000,13000,13000,13000,13000,12000,12000
Uruguay,800,800,820,830,790,800,830,860,880
Uzbekistan,3300,3400,3600,3700,3900,4000,4100,4300,4400
Vietnam,15000,14000,13000,11000,10000,9100,7600,6300,5400
World,1800000,1800000,1800000,1700000,1700000,1700000,1700000,1600000,1600000
"Yemen, Rep.",740,790,850,890,900,930,960,980,1000
Zambia,47000,46000,45000,45000,44000,44000,43000,43000,43000
Zimbabwe,47000,44000,41000,40000,38000,37000,36000,35000,33000
